DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OPENINTEREST
2016-01-07,124.61,124.8,124.43,124.59,47149,71681
2016-01-08,124.56,124.64,124.14,124.14,43193,72608
2016-01-11,124.48,124.57,124.36,124.51,38715,75224
2016-01-12,124.4,124.63,124.25,124.41,46641,75711
2016-01-13,124.61,124.65,124.33,124.51,37651,77080
2016-01-14,124.71,124.93,124.37,124.37,53469,76539
2016-01-15,124.37,124.55,124.22,124.51,39658,77094
2016-01-18,124.91,124.91,124.29,124.34,54725,77050
2016-01-19,124.41,124.49,124.06,124.1,48850,78783
2016-01-20,124.2,124.79,124.2,124.78,63432,81836
2016-01-21,124.75,124.87,124.5,124.84,56090,79649
2016-01-22,124.59,124.9,124.33,124.41,68303,80317
2016-01-25,124.32,124.59,124.31,124.54,40148,81996
2016-01-26,124.77,124.92,124.68,124.89,41918,81002
2016-01-27,124.83,124.84,124.53,124.65,55177,78157
2016-01-28,124.75,124.83,124.35,124.59,54451,78915
2016-01-29,124.58,125.21,124.37,125.05,64377,79208
2016-02-01,125.06,125.67,125.06,125.61,51264,80877
2016-02-02,125.62,125.86,125.48,125.66,62761,80777
2016-02-03,126.13,126.27,125.92,126.21,49920,85277
2016-02-04,126.12,126.26,125.84,126.26,49279,85307
2016-02-05,126.26,126.33,125.95,126.03,36597,82308
2016-02-11,127,127.37,126.91,127.21,44311,79120
2016-02-12,127.15,127.37,126.56,126.91,80341,80659
2016-02-15,126.56,126.72,126.45,126.62,50219,82594
2016-02-16,126.61,127.24,126.4,127.08,51014,81589
2016-02-17,127.08,127.11,126.85,127.08,44181,80197
2016-02-18,126.79,126.9,126.68,126.84,37865,82120
2016-02-19,127.11,127.17,126.71,126.76,55299,82631
2016-02-22,126.62,126.72,126.59,126.59,34087,84711
2016-02-23,126.66,126.89,126.49,126.59,53961,85269
2016-02-24,126.76,126.78,126.41,126.76,56965,83268
2016-02-25,126.71,126.96,126.62,126.96,47347,82910
2016-02-26,126.93,127.2,126.9,127.2,38103,83060
2016-02-29,127.07,127.2,127,127.08,47012,83325
2016-03-02,126.79,126.81,126.58,126.61,44039,79455
2016-03-03,126.51,126.53,126.16,126.16,52566,80853
2016-03-04,126.16,126.34,125.95,126.06,54273,80603
2016-03-07,125.88,126.28,125.87,126.26,51985,80150
2016-03-08,126.1,126.49,126.06,126.45,62778,79734
2016-03-09,126.61,126.64,126.36,126.36,45562,78134
2016-03-10,126.39,126.49,125.92,126.26,57539,71437
2016-03-11,125.97,126.02,125.6,125.6,54455,48132
2016-03-14,125.36,125.81,125.33,125.66,44031,24844
2016-03-15,125.73,125.95,125.57,125.78,55942,75135
2016-03-16,125.67,125.85,125.52,125.73,56043,74021
2016-03-17,126.19,126.31,126.02,126.24,68601,75134
2016-03-18,126.29,126.65,126.11,126.54,59179,74050
2016-03-21,126.49,126.81,126.47,126.61,48194,76496
2016-03-22,126.41,126.54,126.36,126.42,41056,78703
2016-03-23,126.3,126.37,126.06,126.23,63003,78473
2016-03-24,126.49,126.62,126.45,126.45,46263,79992
2016-03-25,126.45,126.66,126.39,126.63,38773,80374
2016-03-28,126.58,126.71,126.49,126.64,42465,81453
2016-03-29,126.7,127.07,126.6,127.03,51402,82583
2016-03-30,127.36,127.46,127.08,127.18,57294,84379
2016-03-31,127.01,127.19,126.97,127.08,56769,85384
2016-04-01,127.19,127.25,126.94,127.03,53915,86174
2016-04-04,127.14,127.38,127.13,127.38,40295,90401
2016-04-05,127.38,127.45,127.07,127.13,65582,90078
2016-04-06,127.27,127.28,127.1,127.14,46515,91267
2016-04-07,127.1,127.26,126.96,126.96,52177,91189
2016-04-08,127.28,127.29,126.88,127.05,55005,90576
2016-04-11,126.94,127.11,126.91,127.08,45516,91864
2016-04-12,127.11,127.14,126.99,127.13,37463,90830
2016-04-14,126.85,126.86,126.45,126.55,62062,87678
2016-04-15,126.38,126.63,126.37,126.59,49783,86332
2016-04-18,126.83,126.88,126.49,126.49,51926,86228
2016-04-19,126.38,126.71,126.22,126.63,66020,86883
2016-04-20,126.64,127.04,126.57,127.03,57628,85035
2016-04-21,126.75,126.85,126.65,126.79,42786,82952
2016-04-22,126.79,126.97,126.48,126.78,78766,82909
2016-04-25,126.78,126.87,126.69,126.76,36219,84037
2016-04-26,126.76,126.98,126.65,126.98,41799,85446
2016-04-27,126.87,127.07,126.86,126.97,44294,86364
2016-04-28,127.18,127.33,126.89,127.06,62021,84427
2016-04-29,127.23,127.26,127.05,127.14,38993,82909
2016-05-02,127.16,127.2,126.96,126.99,38399,81668
2016-05-03,126.85,127.18,126.77,127.15,50889,81441
2016-05-04,127.33,127.49,127.28,127.42,43361,84648
2016-05-09,127.41,127.59,127.37,127.48,41916,84279
2016-05-10,127.55,127.63,127.38,127.46,42538,85304
2016-05-11,127.41,127.57,127.4,127.51,36622,87057
2016-05-12,127.57,127.57,127.4,127.54,37821,88490
2016-05-13,127.48,127.59,127.28,127.5,47536,89565
2016-05-16,127.54,127.57,127.43,127.43,31745,93350
2016-05-17,127.34,127.43,127.22,127.23,37839,92062
2016-05-18,127.19,127.34,127.02,127.11,50634,92476
2016-05-19,126.81,126.83,126.67,126.78,50447,88833
2016-05-20,126.88,127.09,126.81,127.05,42052,87317
2016-05-23,127.12,127.13,126.99,127.11,40846,87882
2016-05-24,127.11,127.48,127.04,127.48,60796,90330
2016-05-25,127.42,127.42,127.26,127.29,37043,89263
2016-05-26,127.29,127.42,127.22,127.24,44885,90846
2016-05-27,127.34,127.4,127.25,127.38,38648,91987
2016-05-30,127.15,127.16,126.93,126.97,43372,90035
2016-05-31,127.07,127.17,126.97,126.98,39689,89694
2016-06-01,127.43,127.64,127.43,127.62,53922,92215
2016-06-02,127.61,127.63,127.48,127.53,30501,92184
2016-06-03,127.63,127.81,127.56,127.81,39324,94052
