Date,Open,High,Low,Close,Volume,OpenInt
2013-06-27,107.04,107.29,106.64,106.64,53428,35335
2013-06-28,107.23,107.57,106.88,107.19,59884,37624
2013-07-01,107.01,107.44,106.05,106.19,45663,41060
2013-07-02,106.64,107.18,106.24,106.87,47651,41123
2013-07-03,107.14,107.42,106.4,106.74,45954,42357
2013-07-04,106.5,106.69,106.34,106.66,35136,42867
2013-07-05,106.74,106.79,105.97,106.25,40856,43244
2013-07-08,104.15,105.34,104.14,105.34,43713,45056
2013-07-09,105.34,105.79,105.34,105.49,38157,45408
2013-07-10,105.47,106.46,105.35,106.04,44876,45387
2013-07-11,107.04,107.74,106.86,107.74,47599,42040
2013-07-12,107.68,108.01,107.33,107.51,42105,39297
2013-07-15,107.44,107.73,106.84,106.84,41382,37970
2013-07-16,107.04,107.28,106.8,106.87,34031,38032
2013-07-17,107.07,107.07,106.56,106.65,30026,38209
2013-07-18,107.14,107.42,107.05,107.23,32909,38928
2013-07-19,106.93,107.43,106.86,107.14,26609,39395
2013-07-22,107.3,107.45,107.04,107.24,37405,38199
2013-07-23,107.37,107.57,107.09,107.24,35084,37799
2013-07-24,107.14,107.24,106.95,107.05,27664,37624
2013-07-25,106.44,106.53,106.19,106.24,31888,37964
2013-07-26,106.38,106.57,106.16,106.34,23016,37871
2013-07-29,106.42,106.93,106.42,106.93,19212,36702
2013-07-30,106.6,106.98,106.48,106.8,37583,36293
2013-07-31,106.7,106.84,106.38,106.54,27713,37267
2013-08-01,106.64,106.91,106.49,106.49,27213,37744
2013-08-02,105.65,105.77,105.56,105.68,27620,38757
2013-08-05,106.34,106.49,106.19,106.35,26670,38501
2013-08-06,106.24,106.43,106.21,106.25,30152,40251
2013-08-07,106.22,106.25,105.61,105.69,31474,43117
2013-08-08,105.85,105.91,105.58,105.84,27595,43281
2013-08-09,105.81,105.81,105.62,105.74,28661,43271
2013-08-12,105.83,106.28,105.75,106.19,30489,43324
2013-08-13,105.93,106.14,105.84,105.84,26663,42483
2013-08-14,105.15,105.47,104.92,105.02,30131,45511
2013-08-16,105.01,105.04,104.31,104.91,40734,47440
2013-08-19,104.62,104.65,104.22,104.43,34578,46687
2013-08-20,104.29,105.42,104.28,105.35,57090,44501
2013-08-21,105.35,105.74,105.06,105.09,49192,41500
2013-08-22,104.39,104.67,104.31,104.58,35883,43626
2013-08-23,104.65,104.81,104.41,104.74,32120,44180
2013-08-26,105.15,105.37,105.07,105.12,28639,41953
2013-08-27,105.43,105.47,105.04,105.24,30273,42342
2013-08-28,105.77,106.08,105.7,105.7,45397,39177
2013-08-29,105.63,106.27,105.53,105.87,48069,39639
2013-08-30,106.16,106.4,106.07,106.39,31492,39819
2013-09-02,106.34,106.36,105.86,105.89,38235,41052
2013-09-03,105.74,106.15,105.6,105.84,50270,41319
2013-09-04,105.59,105.73,105.31,105.58,41824,42676
2013-09-05,105.27,105.51,104.81,104.96,47992,43176
2013-09-06,104.39,105.04,104.37,105.04,52187,43966
2013-09-09,105.44,105.95,105.22,105.95,53141,40805
2013-09-10,106.01,106.36,105.65,105.65,61441,39027
2013-09-11,105.51,106.24,105.49,106.24,51752,38381
2013-09-12,106.52,106.73,106.27,106.41,41266,35473
2013-09-13,106.27,106.58,105.87,106.17,42713,31212
2013-09-16,107.04,107.07,106.63,106.87,40728,18358
2013-09-17,106.58,107.4,106.58,107.2,35354,30048
2013-09-23,108.06,108.19,107.87,107.9,38872,33174
2013-09-24,107.99,108.22,107.83,108.02,37364,35049
2013-09-25,108.36,108.42,107.96,107.96,37953,35318
2013-09-26,108.11,108.12,107.45,107.46,48390,36709
2013-09-27,107.66,107.81,107.38,107.67,43966,38169
2013-09-30,107.85,108.01,107.68,107.92,38211,38375
2013-10-01,108.01,108.03,107.37,107.59,47347,38613
2013-10-02,107.59,108,107.44,108,32077,37670
2013-10-04,107.98,108.09,107.89,107.99,25277,39526
2013-10-07,107.92,107.95,107.69,107.81,27952,39910
2013-10-08,107.81,107.91,107.47,107.47,31110,40686
2013-10-10,107.52,107.53,106.91,106.96,44250,42771
2013-10-11,107.14,107.14,106.87,107.11,27211,42999
2013-10-14,107.11,107.14,106.74,106.77,29896,43395
2013-10-15,106.47,107.1,106.47,106.82,41806,44305
2013-10-16,106.69,107.06,106.38,107.06,47059,45220
2013-10-17,107.36,107.55,107.21,107.29,44076,45796
2013-10-18,107.58,107.87,107.58,107.81,35251,47853
2013-10-21,107.73,107.79,107.55,107.76,37727,46575
2013-10-22,107.61,107.9,107.52,107.87,40337,45251
2013-10-23,108.38,108.82,108.32,108.66,54711,45189
2013-10-24,108.66,108.89,108.36,108.47,44217,45103
2013-10-25,108.38,108.64,108.36,108.56,42333,47502
2013-10-28,108.48,108.5,108.02,108.02,46740,48563
2013-10-29,108.13,108.41,108.06,108.41,46459,47017
2013-10-30,108.58,108.73,108.45,108.65,36281,45546
2013-10-31,108.33,108.38,108.16,108.36,45337,46696
2013-11-01,108.21,108.22,107.83,107.83,43332,47226
2013-11-04,107.43,107.64,107.36,107.64,38772,48606
2013-11-05,107.69,107.8,107.22,107.25,51931,48527
2013-11-06,106.97,107.43,106.87,107.43,55075,48969
2013-11-07,107.36,107.47,107.16,107.26,47843,49235
2013-11-08,107.57,107.64,107.44,107.45,34029,50549
2013-11-11,106.46,106.76,106.42,106.66,47386,50321
2013-11-12,106.66,106.68,106.34,106.58,39771,51135
2013-11-13,106.53,106.93,106.41,106.87,41897,49446
2013-11-14,107.36,107.38,106.74,106.74,43940,49786
2013-11-15,106.88,107.07,106.6,106.6,41980,49310
2013-11-18,106.61,106.75,106.51,106.66,43102,47739
2013-11-19,106.85,106.87,106.18,106.18,48026,48470
2013-11-20,106.06,106.39,106.03,106.17,53971,48702
2013-11-21,105.7,105.82,105.59,105.82,42439,49510
2013-11-22,105.86,106.21,105.61,106.21,39287,49644
2013-11-25,106.16,106.39,106.04,106.04,39556,48531
2013-11-26,106.23,106.37,106.11,106.23,32218,47923
2013-11-27,106.49,106.49,106.23,106.24,28683,47345
2013-11-28,106.07,106.28,106.02,106.07,30434,47105
2013-11-29,106.11,106.21,105.7,105.82,41273,47741
2013-12-02,105.78,105.82,105.28,105.35,32925,49488
2013-12-03,105.2,105.53,105.15,105.41,43877,49001
2013-12-04,105.48,105.74,105.28,105.46,39930,49582
2013-12-05,105.26,105.45,105.06,105.18,39704,50547
2013-12-06,105.06,105.48,104.98,105.46,42414,51324
2013-12-09,105.5,105.95,105.47,105.92,39240,50319
2013-12-10,105.84,106.05,105.75,105.81,49904,48654
2013-12-11,105.95,105.96,105.52,105.52,26690,47793
2013-12-12,105.45,105.66,105.35,105.61,28238,43484
2013-12-13,105.46,105.94,105.45,105.92,23299,31456
2013-12-16,105.9,106.52,105.89,106.41,24111,18099
2013-12-17,106.31,106.81,106.22,106.68,32515,38705
2013-12-18,106.68,106.72,106.41,106.46,26766,39072
2013-12-19,106.29,106.7,106,106.36,31325,39811
2013-12-20,106.25,106.52,106.07,106.46,19182,39804
2013-12-23,106.71,106.91,106.58,106.91,22290,38722
2013-12-24,106.83,107.04,106.77,107.01,16999,36822
2013-12-26,106.85,107.02,106.73,106.9,18246,36235
2013-12-27,106.77,107.34,106.68,107.15,23177,36836
2013-12-30,107.2,107.39,106.9,106.9,12170,36614
2014-01-02,106.81,106.81,106,106.01,19994,37753
2014-01-03,106.06,106.15,105.57,105.84,36102,38966
2014-01-06,105.73,106.37,105.72,106.37,33396,40395
2014-01-07,106.62,106.62,105.99,106.37,31672,39448
2014-01-08,106.18,106.7,106.13,106.37,30549,40724
2014-01-09,106.21,106.37,105.81,106.11,28648,40549
2014-01-10,106.15,106.55,106.04,106.31,25484,40816
2014-01-13,106.99,107.14,106.56,106.56,28039,41281
2014-01-14,106.75,106.87,106.4,106.4,25400,41400
2014-01-15,106.32,106.47,106.12,106.16,23065,42131
2014-01-16,106.15,106.45,105.99,106.4,29130,43947
2014-01-17,106.56,106.57,106.27,106.33,18972,43852
2014-01-20,106.4,106.5,106.29,106.31,24307,45374
2014-01-21,106.32,106.43,106.2,106.21,15210,45442
2014-01-22,106.25,106.33,106,106.03,24611,46622
2014-01-23,106.02,106.36,105.92,106.33,30685,45655
2014-01-24,106.71,107.04,106.64,107,33658,46337
2014-01-27,107.31,107.33,106.74,106.74,44209,44024
2014-01-28,106.81,106.89,106.64,106.81,23037,43565
2014-01-29,106.7,106.74,106.52,106.74,17160,43440
2014-02-03,107.11,107.11,106.69,106.83,25268,44174
2014-02-04,107.07,107.51,107.04,107.43,32903,43070
2014-02-05,107.28,107.62,107.28,107.35,28503,42488
2014-02-06,107.29,107.4,107.09,107.4,29569,43477
2014-02-07,107.25,107.43,107.14,107.18,27321,44563
2014-02-10,107.18,107.38,107.13,107.38,26156,45950
2014-02-11,107.41,107.71,107.31,107.54,31820,45912
2014-02-12,107.39,107.55,107.32,107.53,24895,46133
2014-02-13,107.41,107.88,107.36,107.86,33520,45533
2014-02-14,107.86,108.13,107.69,108,33547,45462
2014-02-17,107.93,107.96,107.8,107.81,24406,47700
2014-02-18,107.8,107.83,107.54,107.6,28366,47315
2014-02-19,107.79,107.86,107.74,107.83,20221,47839
2014-02-20,107.68,108.01,107.63,107.9,27166,48153
2014-02-21,107.64,107.74,107.51,107.55,24093,48324
2014-02-24,107.66,107.83,107.62,107.75,23487,49921
2014-02-25,107.7,107.91,107.7,107.86,23849,49703
2014-02-26,107.97,108.04,107.68,107.71,24447,50292
2014-02-27,107.88,107.93,107.75,107.85,17736,50191
2014-02-28,107.93,107.96,107.7,107.9,21960,49600
2014-03-03,107.96,108.07,107.18,107.29,29938,49473
2014-03-04,107.46,107.54,107.1,107.13,36468,49357
2014-03-05,106.97,107.31,106.9,107.31,35301,47781
2014-03-06,107.3,107.44,107.11,107.26,34342,49259
2014-03-07,107.13,107.28,107.08,107.16,27452,48187
2014-03-10,106.96,107.34,106.96,107.34,29966,48248
2014-03-11,107.32,107.44,107.24,107.36,30387,46644
2014-03-12,107.43,107.61,107.38,107.61,26158,42937
2014-03-13,107.62,107.86,107.56,107.67,29178,40175
2014-03-14,107.9,108.31,107.9,108.31,27631,32695
2014-03-17,108.21,108.29,107.82,107.84,31202,17438
2014-03-18,107.77,107.87,107.59,107.81,39654,37789
2014-03-19,107.82,108.04,107.65,108.03,34652,39274
2014-03-20,107.43,107.83,107.42,107.76,38693,40569
2014-03-21,107.71,107.8,107.48,107.57,33625,41836
2014-03-24,107.65,107.72,107.48,107.48,28300,41980
2014-03-25,107.55,107.76,107.55,107.72,28165,42752
2014-03-26,107.66,107.72,107.58,107.69,24592,42675
2014-03-27,107.91,107.94,107.73,107.73,34676,43279
2014-03-28,107.89,107.99,107.82,107.94,27388,44842
2014-03-31,107.82,107.96,107.81,107.92,18365,45619
2014-04-01,107.95,108.03,107.67,107.73,38772,47068
